timestamp,pwm,voltage,current,esc_temperature
12.4,1580,16.17,1.47,21.6
12.5,1580,16.17,1.42,21.7
12.6,1580,16.17,1.43,21.7
12.7,1580,16.17,1.47,21.7
12.8,1580,16.18,1.40,21.6
12.9,1580,16.18,1.47,21.6
13.0,1580,16.18,1.41,21.7
13.1,1580,16.18,1.44,21.7
13.2,1580,16.19,1.46,21.7
13.3,1580,16.19,1.40,21.6
13.4,1580,16.19,1.48,21.6
13.5,1580,16.19,1.41,21.7
13.6,1580,16.20,1.45,21.7
13.7,1580,16.20,1.45,21.6
13.8,1580,16.20,1.41,21.6
13.9,1580,16.20,1.48,21.6
14.0,1580,16.20,1.40,21.7
14.1,1580,16.21,1.46,21.7
14.2,1580,16.21,1.44,21.6
14.3,1580,16.21,1.42,21.6
14.4,1580,16.21,1.47,21.6
14.5,1580,16.21,1.40,21.7
14.6,1580,16.21,1.47,21.7
14.7,1580,16.22,1.43,21.6
14.8,1580,16.22,1.43,21.6
14.9,1580,16.22,1.47,21.6
15.0,1580,16.22,1.40,21.6
15.1,1580,16.22,1.47,21.7
15.2,1580,16.22,1.42,21.6
15.3,1580,16.22,1.44,21.6
15.4,1580,16.22,1.46,21.6
15.5,1580,16.22,1.40,21.6
15.6,1580,16.22,1.48,21.6
15.7,1580,16.22,1.41,21.6
15.8,1580,16.22,1.45,21.5
15.9,1580,16.22,1.45,21.6
16.0,1580,16.22,1.41,21.6
16.1,1580,16.22,1.48,21.6
16.2,1580,16.22,1.40,21.6
16.3,1580,16.22,1.46,21.5
16.4,1580,16.22,1.44,21.6
16.5,1580,16.22,1.41,21.6
16.6,1580,16.22,1.48,21.6
16.7,1580,16.22,1.40,21.5
16.8,1580,16.21,1.46,21.5
16.9,1580,16.21,1.43,21.6
17.0,1580,16.21,1.42,21.6
17.1,1580,16.21,1.47,21.6
17.2,1580,16.21,1.40,21.5
17.3,1580,16.21,1.47,21.5
17.4,1580,16.20,1.42,21.6
17.5,1580,16.20,1.43,21.6
17.6,1580,16.20,1.46,21.6
17.7,1580,16.20,1.40,21.5
17.8,1580,16.20,1.48,21.5
17.9,1580,16.19,1.41,21.6
18.0,1580,16.19,1.44,21.6
18.1,1580,16.19,1.45,21.6
18.2,1580,16.19,1.40,21.5
18.3,1580,16.19,1.48,21.5
18.4,1580,16.18,1.40,21.6
18.5,1580,16.18,1.45,21.6
18.6,1580,16.18,1.44,21.5
18.7,1580,16.18,1.41,21.5
18.8,1580,16.17,1.48,21.5
18.9,1580,16.17,1.40,21.6
19.0,1580,16.17,1.46,21.6
19.1,1580,16.17,1.43,21.5
19.2,1580,16.16,1.42,21.5
19.3,1580,16.16,1.47,21.5
19.4,1580,16.16,1.40,21.6
19.5,1580,16.16,1.47,21.6
19.6,1580,16.15,1.42,21.5
19.7,1580,16.15,1.43,21.5
19.8,1580,16.15,1.47,21.5
19.9,1580,16.15,1.40,21.5
20.0,1580,16.14,1.47,21.5
20.1,1580,16.14,1.41,21.5
20.2,1580,16.14,1.44,21.5
20.3,1580,16.14,1.46,21.5
20.4,1580,16.14,1.40,21.5
20.5,1580,16.13,1.48,21.5
20.6,1580,16.13,1.41,21.5
20.7,1580,16.13,1.45,21.4
20.8,1580,16.13,1.45,21.5
20.9,1580,16.13,1.41,21.5
21.0,1580,16.13,1.48,21.5
21.1,1580,16.13,1.40,21.5
21.2,1580,16.13,1.46,21.4
21.3,1580,16.12,1.44,21.5
21.4,1580,16.12,1.42,21.5
21.5,1580,16.12,1.47,21.5
21.6,1580,16.12,1.40,21.4
21.7,1580,16.12,1.47,21.4
21.8,1580,16.12,1.43,21.5
21.9,1580,16.12,1.43,21.5
22.0,1580,16.12,1.47,21.5
22.1,1580,16.12,1.40,21.4
22.2,1580,16.12,1.47,21.4
22.3,1580,16.12,1.42,21.5
22.4,1580,16.12,1.44,21.5
22.5,1580,16.12,1.46,21.5
22.6,1580,16.12,1.40,21.4
22.7,1580,16.12,1.48,21.4
22.8,1580,16.13,1.41,21.5
22.9,1580,16.13,1.45,21.5
23.0,1580,16.13,1.45,21.5
23.1,1580,16.13,1.41,21.4
23.2,1580,16.13,1.48,21.4
23.3,1580,16.13,1.40,21.5
23.4,1580,16.13,1.46,21.5
23.5,1580,16.14,1.44,21.4
23.6,1580,16.14,1.41,21.4
23.7,1580,16.14,1.48,21.4
23.8,1580,16.14,1.40,21.5
23.9,1580,16.14,1.46,21.5
24.0,1580,16.14,1.43,21.4
24.1,1580,16.15,1.42,21.4
24.2,1580,16.15,1.47,21.4
24.3,1580,16.15,1.40,21.5
24.4,1580,16.15,1.47,21.5
24.5,1580,16.16,1.42,21.4
24.6,1580,16.16,1.43,21.4
24.7,1580,16.16,1.46,21.4
24.8,1580,16.16,1.40,21.5
24.9,1580,16.17,1.48,21.5
25.0,1580,16.17,1.41,21.4
25.1,1580,16.17,1.44,21.4
25.2,1580,16.17,1.45,21.4
25.3,1580,16.18,1.40,21.5
25.4,1580,16.18,1.48,21.4
25.5,1580,16.18,1.40,21.4
25.6,1580,16.18,1.45,21.4
25.7,1580,16.19,1.44,21.4
25.8,1580,16.19,1.41,21.4
25.9,1580,16.19,1.48,21.4
26.0,1580,16.19,1.40,21.4
26.1,1580,16.19,1.46,21.3
26.2,1580,16.20,1.43,21.4
26.3,1580,16.20,1.42,21.4
26.4,1580,16.20,1.47,21.4
26.5,1580,16.20,1.40,21.4
26.6,1580,16.21,1.47,21.3
26.7,1580,16.21,1.42,21.4
26.8,1580,16.21,1.43,21.4
26.9,1580,16.21,1.47,21.4
27.0,1580,16.21,1.40,21.3
27.1,1580,16.21,1.47,21.3
27.2,1580,16.21,1.41,21.4
27.3,1580,16.22,1.44,21.4
27.4,1580,16.22,1.46,21.4
27.5,1580,16.22,1.40,21.3
27.6,1580,16.22,1.48,21.3
27.7,1580,16.22,1.41,21.4
27.8,1580,16.22,1.45,21.4
27.9,1580,16.22,1.45,21.4
28.0,1580,16.22,1.41,21.3
28.1,1580,16.22,1.48,21.3
28.2,1580,16.22,1.40,21.4
28.3,1580,16.22,1.46,21.4
28.4,1580,16.22,1.44,21.4
28.5,1580,16.22,1.42,21.3
28.6,1580,16.22,1.47,21.3
28.7,1580,16.22,1.40,21.4
28.8,1580,16.22,1.47,21.4
28.9,1580,16.22,1.43,21.3
29.0,1580,16.22,1.43,21.3
29.1,1580,16.22,1.47,21.3
29.2,1580,16.22,1.40,21.4
29.3,1580,16.22,1.47,21.4
29.4,1580,16.21,1.42,21.3
29.5,1580,16.21,1.44,21.3
29.6,1580,16.21,1.46,21.3
29.7,1580,16.21,1.40,21.4
29.8,1580,16.21,1.48,21.4
29.9,1580,16.21,1.41,21.3
30.0,1500,16.23,0.08,21.3
30.1,1500,16.23,0.08,21.3
30.2,1500,16.23,0.04,21.4
30.3,1500,16.23,0.11,21.4
30.4,1500,16.22,0.04,21.3
30.5,1500,16.22,0.09,21.3
30.6,1500,16.22,0.07,21.3
30.7,1500,16.22,0.05,21.4
30.8,1500,16.21,0.11,21.3
30.9,1500,16.21,0.03,21.3
31.0,1500,16.21,0.10,21.3
31.1,1500,16.21,0.06,21.3
31.2,1500,16.20,0.05,21.4
31.3,1500,16.20,0.10,21.3
31.4,1500,16.20,0.03,21.3
31.5,1500,16.20,0.10,21.3
31.6,1500,16.19,0.05,21.3
31.7,1500,16.19,0.06,21.3
31.8,1500,16.19,0.10,21.3
31.9,1500,16.19,0.03,21.2
32.0,1500,16.18,0.11,21.2
32.1,1500,16.18,0.04,21.3
32.2,1500,16.18,0.08,21.3
32.3,1500,16.18,0.09,21.3
32.4,1500,16.18,0.04,21.2
32.5,1500,16.17,0.11,21.2
32.6,1500,16.17,0.04,21.3
32.7,1500,16.17,0.09,21.3
32.8,1500,16.17,0.08,21.3
32.9,1500,16.17,0.04,21.2
33.0,1500,16.16,0.11,21.2
33.1,1500,16.16,0.03,21.3
33.2,1500,16.16,0.09,21.3
33.3,1500,16.16,0.07,21.3
33.4,1500,16.16,0.05,21.2
33.5,1500,16.16,0.10,21.2
33.6,1500,16.15,0.03,21.3
33.7,1500,16.15,0.10,21.3
33.8,1500,16.15,0.06,21.2
33.9,1500,16.15,0.06,21.2
34.0,1500,16.15,0.10,21.2
34.1,1500,16.15,0.03,21.3
34.2,1500,16.15,0.11,21.3
34.3,1500,16.15,0.05,21.2
34.4,1500,16.15,0.07,21.2
34.5,1500,16.15,0.09,21.2
34.6,1500,16.15,0.03,21.3
34.7,1500,16.15,0.11,21.3
34.8,1500,16.15,0.04,21.2
34.9,1500,16.15,0.08,21.2
35.0,1500,16.15,0.08,21.2
35.1,1500,16.15,0.04,21.3
35.2,1500,16.15,0.11,21.3
35.3,1500,16.15,0.03,21.2
35.4,1500,16.15,0.09,21.2
35.5,1500,16.15,0.07,21.2
35.6,1500,16.16,0.05,21.3
35.7,1500,16.16,0.11,21.2
35.8,1500,16.16,0.03,21.2
35.9,1500,16.16,0.10,21.2
36.0,1500,16.16,0.06,21.2
36.1,1500,16.16,0.06,21.3
36.2,1500,16.16,0.10,21.2
36.3,1500,16.17,0.03,21.2
36.4,1500,16.17,0.11,21.2
36.5,1500,16.17,0.05,21.2
36.6,1500,16.17,0.07,21.3
36.7,1500,16.18,0.09,21.2
36.8,1500,16.18,0.03,21.2
36.9,1500,16.18,0.11,21.2
37.0,1500,16.18,0.04,21.2
37.1,1500,16.18,0.08,21.2
37.2,1500,16.19,0.08,21.2
37.3,1500,16.19,0.04,21.1
37.4,1500,16.19,0.11,21.2
37.5,1500,16.19,0.04,21.2
37.6,1500,16.20,0.09,21.2
37.7,1500,16.20,0.07,21.2
37.8,1500,16.20,0.05,21.1
37.9,1500,16.20,0.11,21.1
38.0,1500,16.21,0.03,21.2
38.1,1500,16.21,0.10,21.2
38.2,1500,16.21,0.06,21.2
38.3,1500,16.21,0.05,21.1
38.4,1500,16.22,0.10,21.1
38.5,1500,16.22,0.03,21.2
38.6,1500,16.22,0.10,21.2
38.7,1500,16.22,0.05,21.2
38.8,1500,16.23,0.06,21.1
38.9,1500,16.23,0.10,21.1
39.0,1500,16.23,0.03,21.2
39.1,1500,16.23,0.11,21.2
39.2,1500,16.23,0.04,21.1
39.3,1500,16.23,0.08,21.1
39.4,1500,16.24,0.09,21.1
39.5,1500,16.24,0.04,21.2
39.6,1500,16.24,0.11,21.2
39.7,1500,16.24,0.04,21.1
39.8,1500,16.24,0.09,21.1
39.9,1500,16.24,0.08,21.1
40.0,1350,16.17,3.58,21.2
40.1,1350,16.17,3.65,21.2
40.2,1350,16.18,3.57,21.1
40.3,1350,16.18,3.64,21.1
40.4,1350,16.18,3.61,21.1
40.5,1350,16.18,3.59,21.2
40.6,1350,16.18,3.65,21.2
40.7,1350,16.18,3.57,21.1
40.8,1350,16.18,3.64,21.1
40.9,1350,16.18,3.60,21.2
41.0,1350,16.18,3.60,21.2
41.1,1350,16.18,3.64,21.2
41.2,1350,16.18,3.57,21.1
41.3,1350,16.18,3.65,21.1
41.4,1350,16.18,3.59,21.2
41.5,1350,16.18,3.61,21.2
41.6,1350,16.17,3.63,21.2
41.7,1350,16.17,3.58,21.1
41.8,1350,16.17,3.65,21.1
41.9,1350,16.17,3.58,21.2
42.0,1350,16.17,3.62,21.2
42.1,1350,16.17,3.62,21.2
42.2,1350,16.17,3.58,21.1
42.3,1350,16.17,3.65,21.1
42.4,1350,16.16,3.57,21.2
42.5,1350,16.16,3.63,21.2
42.6,1350,16.16,3.61,21.1
42.7,1350,16.16,3.59,21.1
42.8,1350,16.16,3.65,21.1
42.9,1350,16.15,3.57,21.2
43.0,1350,16.15,3.64,21.2
43.1,1350,16.15,3.60,21.1
43.2,1350,16.15,3.60,21.1
43.3,1350,16.14,3.64,21.1
43.4,1350,16.14,3.57,21.2
43.5,1350,16.14,3.65,21.2
43.6,1350,16.14,3.59,21.1
43.7,1350,16.14,3.61,21.1
43.8,1350,16.13,3.63,21.1
43.9,1350,16.13,3.57,21.2
44.0,1350,16.13,3.65,21.2
44.1,1350,16.13,3.58,21.1
44.2,1350,16.12,3.62,21.1
44.3,1350,16.12,3.62,21.1
44.4,1350,16.12,3.58,21.2
44.5,1350,16.12,3.65,21.2
44.6,1350,16.11,3.58,21.1
44.7,1350,16.11,3.63,21.1
44.8,1350,16.11,3.61,21.2
44.9,1350,16.11,3.59,21.2
45.0,1350,16.10,3.65,21.2
45.1,1350,16.10,3.57,21.1
45.2,1350,16.10,3.64,21.1
45.3,1350,16.10,3.60,21.2
45.4,1350,16.10,3.60,21.2
45.5,1350,16.09,3.64,21.2
45.6,1350,16.09,3.57,21.1
45.7,1350,16.09,3.65,21.1
45.8,1350,16.09,3.59,21.2
45.9,1350,16.09,3.61,21.2
46.0,1350,16.09,3.64,21.2
46.1,1350,16.08,3.57,21.1
46.2,1350,16.08,3.65,21.1
46.3,1350,16.08,3.59,21.2
46.4,1350,16.08,3.62,21.2
46.5,1350,16.08,3.63,21.2
46.6,1350,16.08,3.58,21.1
46.7,1350,16.08,3.65,21.1
46.8,1350,16.08,3.58,21.2
46.9,1350,16.08,3.63,21.2
47.0,1350,16.08,3.62,21.2
47.1,1350,16.08,3.58,21.1
47.2,1350,16.08,3.65,21.1
47.3,1350,16.08,3.57,21.2
47.4,1350,16.08,3.64,21.2
47.5,1350,16.08,3.61,21.2
47.6,1350,16.08,3.59,21.1
47.7,1350,16.08,3.65,21.1
47.8,1350,16.08,3.57,21.2
47.9,1350,16.08,3.64,21.2
48.0,1350,16.08,3.60,21.2
48.1,1350,16.08,3.60,21.1
48.2,1350,16.09,3.64,21.1
48.3,1350,16.09,3.57,21.2
48.4,1350,16.09,3.65,21.2
48.5,1350,16.09,3.59,21.1
48.6,1350,16.09,3.61,21.1
48.7,1350,16.09,3.63,21.2
48.8,1350,16.09,3.58,21.2
48.9,1350,16.10,3.65,21.2
49.0,1350,16.10,3.58,21.1
49.1,1350,16.10,3.62,21.1
49.2,1350,16.10,3.62,21.2
49.3,1350,16.10,3.58,21.2
49.4,1350,16.11,3.65,21.2
49.5,1350,16.11,3.57,21.1
49.6,1350,16.11,3.63,21.1
49.7,1350,16.11,3.61,21.2
49.8,1350,16.12,3.59,21.2
49.9,1350,16.12,3.65,21.2
50.0,1350,16.12,3.57,21.1
50.1,1350,16.12,3.64,21.1
50.2,1350,16.13,3.60,21.2
50.3,1350,16.13,3.60,21.2
50.4,1350,16.13,3.64,21.2
50.5,1350,16.13,3.57,21.1
50.6,1350,16.14,3.65,21.1
50.7,1350,16.14,3.59,21.2
50.8,1350,16.14,3.61,21.2
50.9,1350,16.14,3.63,21.2
51.0,1350,16.15,3.57,21.1
51.1,1350,16.15,3.65,21.1
51.2,1350,16.15,3.58,21.2
51.3,1350,16.15,3.62,21.2
51.4,1350,16.16,3.62,21.2
51.5,1350,16.16,3.58,21.1
51.6,1350,16.16,3.65,21.1
51.7,1350,16.16,3.58,21.2
51.8,1350,16.16,3.63,21.2
51.9,1350,16.16,3.61,21.2
52.0,1350,16.17,3.59,21.1
52.1,1350,16.17,3.65,21.1
52.2,1350,16.17,3.57,21.2
52.3,1350,16.17,3.64,21.2
52.4,1350,16.17,3.60,21.2
52.5,1350,16.17,3.60,21.1
52.6,1350,16.17,3.64,21.1
52.7,1350,16.18,3.57,21.2
52.8,1350,16.18,3.65,21.2
52.9,1350,16.18,3.59,21.2
53.0,1350,16.18,3.61,21.1
53.1,1350,16.18,3.64,21.2
53.2,1350,16.18,3.57,21.2
53.3,1350,16.18,3.65,21.2
53.4,1350,16.18,3.59,21.2
53.5,1350,16.18,3.62,21.1
53.6,1350,16.18,3.63,21.2
53.7,1350,16.18,3.58,21.2
53.8,1350,16.18,3.65,21.2
53.9,1350,16.18,3.58,21.2
54.0,1350,16.18,3.63,21.1
54.1,1350,16.18,3.62,21.2
54.2,1350,16.17,3.58,21.2
54.3,1350,16.17,3.65,21.2
54.4,1350,16.17,3.57,21.1
54.5,1350,16.17,3.64,21.1
54.6,1350,16.17,3.61,21.2
54.7,1350,16.17,3.59,21.2
54.8,1350,16.17,3.65,21.2
54.9,1350,16.16,3.57,21.1
55.0,1350,16.16,3.64,21.1
55.1,1350,16.16,3.60,21.2
55.2,1350,16.16,3.60,21.2
55.3,1350,16.16,3.64,21.2
55.4,1350,16.16,3.57,21.1
55.5,1350,16.15,3.65,21.1
55.6,1350,16.15,3.59,21.2
55.7,1350,16.15,3.61,21.2
55.8,1350,16.15,3.63,21.2
55.9,1350,16.14,3.58,21.1
56.0,1350,16.14,3.65,21.1
56.1,1350,16.14,3.58,21.2
56.2,1350,16.14,3.62,21.2
56.3,1350,16.13,3.62,21.2
56.4,1350,16.13,3.58,21.1
56.5,1350,16.13,3.65,21.1
56.6,1350,16.13,3.57,21.2
56.7,1350,16.12,3.63,21.2
56.8,1350,16.12,3.61,21.2
56.9,1350,16.12,3.59,21.1
57.0,1350,16.12,3.65,21.2
57.1,1350,16.11,3.57,21.2
57.2,1350,16.11,3.64,21.2
57.3,1350,16.11,3.60,21.2
57.4,1350,16.11,3.60,21.1
57.5,1350,16.11,3.64,21.2
57.6,1350,16.10,3.57,21.2
57.7,1350,16.10,3.65,21.2
57.8,1350,16.10,3.59,21.2
57.9,1350,16.10,3.61,21.1
58.0,1350,16.09,3.63,21.2
58.1,1350,16.09,3.57,21.2
58.2,1350,16.09,3.65,21.2
58.3,1350,16.09,3.58,21.2
58.4,1350,16.09,3.62,21.1
58.5,1350,16.09,3.62,21.2
58.6,1350,16.09,3.58,21.2
58.7,1350,16.08,3.65,21.2
58.8,1350,16.08,3.58,21.2
58.9,1350,16.08,3.63,21.1
59.0,1350,16.08,3.61,21.2
59.1,1350,16.08,3.59,21.2
59.2,1350,16.08,3.65,21.2
59.3,1350,16.08,3.57,21.2
59.4,1350,16.08,3.64,21.1
59.5,1350,16.08,3.60,21.2
59.6,1350,16.08,3.60,21.2
59.7,1350,16.08,3.64,21.2
59.8,1350,16.08,3.57,21.1
59.9,1350,16.08,3.65,21.1
60.0,1500,16.15,0.05,21.2
60.1,1500,16.15,0.06,21.2
60.2,1500,16.15,0.10,21.2
60.3,1500,16.15,0.03,21.1
60.4,1500,16.15,0.11,21.1
60.5,1500,16.15,0.04,21.2
60.6,1500,16.15,0.08,21.2
60.7,1500,16.16,0.09,21.2
60.8,1500,16.16,0.04,21.1
60.9,1500,16.16,0.11,21.1
61.0,1500,16.16,0.04,21.2
61.1,1500,16.16,0.09,21.2
61.2,1500,16.16,0.08,21.2
61.3,1500,16.16,0.04,21.1
61.4,1500,16.17,0.11,21.1
61.5,1500,16.17,0.03,21.2
61.6,1500,16.17,0.09,21.2
61.7,1500,16.17,0.07,21.2
61.8,1500,16.17,0.05,21.1
61.9,1500,16.18,0.10,21.1
62.0,1500,16.18,0.03,21.2
62.1,1500,16.18,0.10,21.2
62.2,1500,16.18,0.06,21.1
62.3,1500,16.19,0.06,21.1
62.4,1500,16.19,0.10,21.1
62.5,1500,16.19,0.03,21.2
62.6,1500,16.19,0.11,21.2
62.7,1500,16.20,0.05,21.1
62.8,1500,16.20,0.07,21.1
62.9,1500,16.20,0.09,21.1
63.0,1500,16.20,0.03,21.2
63.1,1500,16.21,0.11,21.2
63.2,1500,16.21,0.04,21.1
63.3,1500,16.21,0.08,21.1
63.4,1500,16.21,0.08,21.1
63.5,1500,16.22,0.04,21.2
63.6,1500,16.22,0.11,21.2
63.7,1500,16.22,0.03,21.1
63.8,1500,16.22,0.09,21.1
63.9,1500,16.22,0.07,21.1
64.0,1500,16.23,0.05,21.2
64.1,1500,16.23,0.11,21.1
64.2,1500,16.23,0.03,21.1
64.3,1500,16.23,0.10,21.1
64.4,1500,16.23,0.06,21.1
64.5,1500,16.24,0.06,21.2
64.6,1500,16.24,0.10,21.1
64.7,1500,16.24,0.03,21.1
64.8,1500,16.24,0.11,21.1
64.9,1500,16.24,0.05,21.1
65.0,1500,16.24,0.07,21.1
65.1,1500,16.24,0.09,21.1
65.2,1500,16.25,0.03,21.1
65.3,1500,16.25,0.11,21.1
65.4,1500,16.25,0.04,21.1
65.5,1500,16.25,0.08,21.1
65.6,1500,16.25,0.08,21.1
65.7,1500,16.25,0.04,21.0
65.8,1500,16.25,0.11,21.1
65.9,1500,16.25,0.04,21.1
66.0,1500,16.25,0.09,21.1
66.1,1500,16.25,0.07,21.1
66.2,1500,16.25,0.05,21.0
66.3,1500,16.25,0.11,21.0
66.4,1500,16.25,0.03,21.1
66.5,1500,16.25,0.10,21.1
66.6,1500,16.25,0.06,21.1
66.7,1500,16.25,0.05,21.0
66.8,1500,16.24,0.10,21.0
66.9,1500,16.24,0.03,21.1
67.0,1500,16.24,0.10,21.1
67.1,1500,16.24,0.05,21.1
67.2,1500,16.24,0.06,21.0
67.3,1500,16.24,0.10,21.0
67.4,1500,16.24,0.03,21.1
67.5,1500,16.24,0.11,21.1
67.6,1500,16.23,0.04,21.0
67.7,1500,16.23,0.08,21.0
67.8,1500,16.23,0.09,21.0
67.9,1500,16.23,0.04,21.1
68.0,1500,16.23,0.11,21.1
68.1,1500,16.22,0.04,21.0
68.2,1500,16.22,0.09,21.0
68.3,1500,16.22,0.08,21.0
68.4,1500,16.22,0.04,21.1
68.5,1500,16.21,0.11,21.1
68.6,1500,16.21,0.03,21.0
68.7,1500,16.21,0.09,21.0
68.8,1500,16.21,0.07,21.0
68.9,1500,16.20,0.05,21.1
69.0,1500,16.20,0.10,21.1
69.1,1500,16.20,0.03,21.0
69.2,1500,16.20,0.10,21.0
69.3,1500,16.19,0.06,21.0
69.4,1500,16.19,0.06,21.1
69.5,1500,16.19,0.10,21.0
69.6,1500,16.19,0.03,21.0
69.7,1500,16.18,0.11,21.0
69.8,1500,16.18,0.05,21.0
69.9,1500,16.18,0.07,21.1
70.0,1750,15.97,10.41,21.0
70.1,1750,15.97,10.35,21.0
70.2,1750,15.97,10.43,21.0
70.3,1750,15.96,10.36,21.1
70.4,1750,15.96,10.40,21.1
70.5,1750,15.96,10.40,21.1
70.6,1750,15.96,10.36,21.1
70.7,1750,15.96,10.43,21.1
70.8,1750,15.96,10.35,21.2
70.9,1750,15.95,10.41,21.2
71.0,1750,15.95,10.39,21.2
71.1,1750,15.95,10.37,21.1
71.2,1750,15.95,10.42,21.2
71.3,1750,15.95,10.35,21.3
71.4,1750,15.95,10.42,21.3
71.5,1750,15.95,10.38,21.2
71.6,1750,15.95,10.38,21.2
71.7,1750,15.94,10.42,21.3
71.8,1750,15.94,10.35,21.3
71.9,1750,15.94,10.42,21.4
72.0,1750,15.94,10.37,21.3
72.1,1750,15.94,10.39,21.3
72.2,1750,15.94,10.41,21.3
72.3,1750,15.94,10.35,21.4
72.4,1750,15.94,10.43,21.4
72.5,1750,15.94,10.36,21.4
72.6,1750,15.94,10.40,21.4
72.7,1750,15.94,10.40,21.4
72.8,1750,15.94,10.36,21.5
72.9,1750,15.95,10.43,21.5
73.0,1750,15.95,10.35,21.4
73.1,1750,15.95,10.41,21.4
73.2,1750,15.95,10.39,21.5
73.3,1750,15.95,10.36,21.6
